WeekEnding,HSCP,SIMDQuintile,AdmissionType,AdmissionTypeQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S37000001,1,All,d,65,63,3.2
20200105,S37000001,2,All,d,125,132.5,-5.7
20200105,S37000001,3,All,d,83,69.5,19.4
20200105,S37000001,4,All,d,69,67,3
20200105,S37000001,5,All,d,123,132.5,-7.2
20200105,S37000002,1,All,d,16,19,-15.8
20200105,S37000002,2,All,d,58,60.5,-4.1
20200105,S37000002,3,All,d,124,117.5,5.5
20200105,S37000002,4,All,d,167,174.5,-4.3
20200105,S37000002,5,All,d,111,109.5,1.4
20200105,S37000003,1,All,d,16,27.5,-41.8
20200105,S37000003,2,All,d,78,77.5,0.6
20200105,S37000003,3,All,d,74,78,-5.1
20200105,S37000003,4,All,d,70,70.5,-0.7
20200105,S37000003,5,All,d,32,31.5,1.6
20200105,S37000004,1,All,d,26,29.5,-11.9
20200105,S37000004,2,All,d,49,44.5,10.1
20200105,S37000004,3,All,d,110,98.5,11.7
20200105,S37000004,4,All,d,47,50,-6
20200105,S37000004,5,All,d,14,18.5,-24.3
20200105,S37000005,1,All,d,101,169.5,-40.4
20200105,S37000005,2,All,d,88,117.5,-25.1
20200105,S37000005,3,All,d,54,103.5,-47.8
20200105,S37000005,4,All,d,75,124.5,-39.8
20200105,S37000005,5,All,d,58,114,-49.1
20200105,S37000006,1,All,d,44,48,-8.3
20200105,S37000006,2,All,d,132,128,3.1
20200105,S37000006,3,All,d,144,156,-7.7
20200105,S37000006,4,All,d,58,52,11.5
20200105,S37000006,5,All,d,37,30,23.3
20200105,S37000007,1,All,d,213,193.5,10.1
20200105,S37000007,2,All,d,84,90.5,-7.2
20200105,S37000007,3,All,d,36,41,-12.2
20200105,S37000007,4,All,d,49,45.5,7.7
20200105,S37000007,5,All,d,64,49.5,29.3
20200105,S37000008,1,All,d,138,132,4.5
20200105,S37000008,2,All,d,93,101.5,-8.4
20200105,S37000008,3,All,d,57,60.5,-5.8
20200105,S37000008,4,All,d,41,33.5,22.4
20200105,S37000008,5,All,d,18,31.5,-42.9
20200105,S37000009,1,All,d,18,13,38.5
20200105,S37000009,2,All,d,58,52.5,10.5
20200105,S37000009,3,All,d,37,18.5,100
20200105,S37000009,4,All,d,47,54,-13
20200105,S37000009,5,All,d,93,108.5,-14.3
20200105,S37000010,1,All,d,20,19,5.3
20200105,S37000010,2,All,d,80,77.5,3.2
20200105,S37000010,3,All,d,65,44.5,46.1
20200105,S37000010,4,All,d,47,43,9.3
20200105,S37000010,5,All,d,36,30,20
20200105,S37000011,1,All,d,12,15.5,-22.6
20200105,S37000011,2,All,d,27,24.5,10.2
20200105,S37000011,3,All,d,18,22,-18.2
20200105,S37000011,4,All,d,54,53,1.9
20200105,S37000011,5,All,d,86,85,1.2
20200105,S37000012,1,All,d,197,167,18
20200105,S37000012,2,All,d,169,170.5,-0.9
20200105,S37000012,3,All,d,142,110.5,28.5
20200105,S37000012,4,All,d,167,155,7.7
20200105,S37000012,5,All,d,353,297,18.9
20200105,S37000013,1,All,d,99,165,-40
20200105,S37000013,2,All,d,124,213.5,-41.9
20200105,S37000013,3,All,d,102,202,-49.5
20200105,S37000013,4,All,d,65,95.5,-31.9
20200105,S37000013,5,All,d,58,83.5,-30.5
